,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b2434,ypeA,U00096.3,,2551713,2552138,-,putative acetyltransferase YpeA,Transcription,P76539,Op2404,,False,True
b2435,amiA,U00096.3,,2552352,2553221,+,N-acetylmuramoyl-L-alanine amidase A,Cell wall/membrane/envelope biogenesis,P36548,Op2405,"RpoD,IHF",False,False
b2436,hemF,U00096.3,,2553225,2554124,+,coproporphyrinogen III oxidase,Coenzyme transport and metabolism,P36553,Op2406,"RpoD,IHF",False,False
b2437,eutR,U00096.3,,2554130,2555182,-,putative DNA-binding transcriptional regulator EutR,Transcription,P36547,Op2407,,False,True
b2438,eutK,U00096.3,,2555228,2555728,-,putative structural protein%2C ethanolamine utilization microcompartment,Energy production and conversion,P76540,Op2408,,False,True
b2439,eutL,U00096.3,,2555741,2556400,-,putative structural protein%2C ethanolamine utilization microcompartment,Amino acid transport and metabolism,P76541,Op2409,,False,True
b2440,eutC,U00096.3,,2556410,2557297,-,ethanolamine ammonia-lyase subunit beta,Amino acid transport and metabolism,P19636,Op2410,,False,False
b2441,eutB,U00096.3,,2557318,2558679,-,ethanolamine ammonia-lyase subunit alpha,Amino acid transport and metabolism,P0AEJ6,Op2411,,False,False
b2442,intZ,U00096.3,,2558858,2560066,+,putative phage integrase IntZ,"Replication, recombination and repair",P76542,Op2412,Lrp,False,True
b2443,yffL,U00096.3,,2560257,2560898,+,uncharacterized protein YffL,No COG annotation,P76543,Op2413,,False,True
b2444,yffM,U00096.3,,2561368,2561613,+,uncharacterized protein YffM,No COG annotation,P76544,Op2414,,False,True
b2445,yffN,U00096.3,,2561625,2561993,+,uncharacterized protein YffN,No COG annotation,P76545,Op2415,,False,True
b2446,yffO,U00096.3,,2562111,2562527,+,uncharacterized protein YffO,No COG annotation,P76546,Op2416,RpoS,False,True
b2447,yffP,U00096.3,,2562524,2563117,+,uncharacterized protein YffP,No COG annotation,P76547,Op2417,RpoS,False,True
b2448,yffQ,U00096.3,,2563592,2563969,+,uncharacterized protein YffQ,No COG annotation,P76548,Op2418,"YdcN,YciT,YfeC,YdhB,YfiE,YbcM",False,True
b2449,yffR,U00096.3,,2563980,2564372,+,uncharacterized protein YffR,No COG annotation,P76549,Op2419,YciT,True,True
b2450,yffS,U00096.3,,2564523,2565332,+,uncharacterized protein YffS,No COG annotation,P76550,Op2420,"YdcN,YdhB,YbcM,Fnr",False,True
b2451,eutA,U00096.3,,2565481,2566884,-,ethanolamine ammonia-lyase reactivase EutA,Amino acid transport and metabolism,P76551,Op2421,HipB,True,False
b2452,eutH,U00096.3,,2566881,2568107,-,putative ethanolamine permease EutH,Amino acid transport and metabolism,P76552,Op2422,HipB,False,True
b2453,eutG,U00096.3,,2568324,2569511,-,putative alcohol dehydrogenase EutG,Energy production and conversion,P76553,Op2423,,False,True
b2454,eutJ,U00096.3,,2569501,2570337,-,putative ethanolamine utilization chaperonin EutJ,Amino acid transport and metabolism,P77277,Op2424,,False,True
b2455,eutE,U00096.3,,2570348,2571751,-,acetaldehyde dehydrogenase (acetylating) EutE,Energy production and conversion,P77445,Op2425,,False,True
b2456,eutN,U00096.3,,2571763,2572050,-,putative ethanolamine catabolic microcompartment shell protein EutN,Energy production and conversion,P0AEJ8,Op2426,,False,True
b2457,eutM,U00096.3,,2572157,2572450,-,putative ethanolamine catabolic microcompartment shell protein EutM,Energy production and conversion,P0ABF4,Op2427,NagC,False,True
b2458,eutD,U00096.3,,2572489,2573505,-,phosphate acetyltransferase EutD,Energy production and conversion,P77218,Op2428,"ppGpp,NagC",False,False
b2459,eutT,U00096.3,,2573502,2574305,-,putative ethanolamine utilization cobalamin adenosyltransferase,Nucleotide transport and metabolism,P65643,Op2429,NagC,False,True
b2460,eutQ,U00096.3,,2574302,2575003,-,putative ethanolamine utilization acetate kinase EutQ,Amino acid transport and metabolism,P76555,Op2430,NagC,False,True
b2461,eutP,U00096.3,,2574978,2575457,-,putative ethanolamine utilization acetate kinase EutP,Amino acid transport and metabolism,P76556,Op2431,NagC,False,True
b2462,eutS,U00096.3,,2575470,2575805,-,putative ethanolamine catabolic microcompartment shell protein EutS,Amino acid transport and metabolism,P63746,Op2432,"ArgR,Nac,NagC",False,True
b2463,maeB,U00096.3,,2576098,2578377,-,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),Energy production and conversion,P76558,Op2433,YciT,False,False
b2464,talA,U00096.3,,2578666,2579616,+,transaldolase A,Nucleotide transport and metabolism,P0A867,Op2434,"RpoS,CreB,ppGpp,DksA",True,False
b2465,tktB,U00096.3,,2579636,2581639,+,transketolase 2,Carbohydrate transport and metabolism,P33570,Op2435,"PhoB,YidZ,RpoS,ppGpp,DksA",True,False
b2466,ypfG,U00096.3,,2581734,2582777,-,DUF1176 domain-containing protein YpfG,Function unknown,P76559,Op2436,,True,True
b2467,nudK,U00096.3,,2582903,2583478,-,GDP-mannose hydrolase,"Replication, recombination and repair",P37128,Op2437,ppGpp,False,False
b2468,aegA,U00096.3,,2583546,2585525,-,putative oxidoreductase AegA,Energy production and conversion,P37127,Op2438,Crp,False,True
b2469,narQ,U00096.3,,2585731,2587431,+,sensor histidine kinase NarQ,Signal transduction mechanisms,P27896,Op2439,Crp,False,False
b2470,acrD,U00096.3,,2587595,2590708,+,multidrug efflux pump RND permease AcrD,"Intracellular trafficking, secretion, and vesicular transport",P24177,Op2440,"RpoD,YdcN,RpoN,EvgA,BaeR,CpxR",True,False
b4606,ypfM,U00096.3,,2590807,2590866,-,uncharacterized protein YpfM,No COG annotation,A5A621,Op2441,,True,False
b2471,yffB,U00096.3,,2591247,2591603,+,putative reductase YffB,Inorganic ion transport and metabolism,P24178,Op2442,"RpoD,ArgR",False,True
b2472,dapE,U00096.3,,2591607,2592734,+,succinyl-diaminopimelate desuccinylase,Amino acid transport and metabolism,P0AED7,Op2443,RpoD,False,False
b4547,ypfN,U00096.3,,2592762,2592962,+,PF13980 family protein YpfN,Function unknown,Q2EET2,Op2444,RpoD,False,True
b2473,ypfH,U00096.3,,2593072,2593770,-,esterase YpfH,Function unknown,P76561,Op2445,,False,False
b2474,tmcA,U00096.3,,2593844,2595859,-,tRNA(Met) cytidine acetyltransferase,"Translation, ribosomal structure and biogenesis",P76562,Op2446,,False,False
b2475,ypfJ,U00096.3,,2595874,2596737,-,uncharacterized protein YpfJ,Function unknown,P64429,Op2447,,False,True
b2476,purC,U00096.3,,2596905,2597618,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,P0A7D7,Op2448,"RpoD,ppGpp,PurR",True,False
b2477,bamC,U00096.3,,2597831,2598865,-,outer membrane protein assembly factor BamC,Cell wall/membrane/envelope biogenesis,P0A903,Op2449,"RpoE,RpoD",False,False
b2478,dapA,U00096.3,,2598882,2599760,-,4-hydroxy-tetrahydrodipicolinate synthase,Amino acid transport and metabolism,P0A6L2,Op2450,RpoD,False,False
b2479,gcvR,U00096.3,,2599906,2600478,+,putative transcriptional regulator GcvR,Transcription,P0A9I3,Op2451,"RpoD,ppGpp",False,False
b2480,bcp,U00096.3,,2600478,2600948,+,thiol peroxidase,"Post-translational modification, protein turnover, and chaperones",P0AE52,Op2452,RpoD,False,False
b2481,hyfA,U00096.3,,2601201,2601818,+,hydrogenase 4 component A,Energy production and conversion,P23481,Op2453,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2482,hyfB,U00096.3,,2601818,2603836,+,hydrogenase 4 component B,Energy production and conversion,P23482,Op2454,"YidZ,RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2483,hyfC,U00096.3,,2603847,2604794,+,hydrogenase 4 component C,Energy production and conversion,P77858,Op2455,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2484,hyfD,U00096.3,,2604811,2606250,+,hydrogenase 4 component D,Energy production and conversion,P77416,Op2456,"RpoN,Fnr,HyfR,Crp,FhlA",True,False
b2485,hyfE,U00096.3,,2606262,2606912,+,hydrogenase 4 component E,Energy production and conversion,P0AEW1,Op2457,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2486,hyfF,U00096.3,,2606917,2608497,+,hydrogenase 4 component F,Energy production and conversion,P77437,Op2458,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2487,hyfG,U00096.3,,2608487,2610154,+,hydrogenase 4 catalytic subunit HyfG,Energy production and conversion,P77329,Op2459,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2488,hyfH,U00096.3,,2610164,2610709,+,hydrogenase 4 component H,Energy production and conversion,P77423,Op2460,"YidZ,RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2489,hyfI,U00096.3,,2610706,2611464,+,hydrogenase 4 catalytic subunit HyfI,Energy production and conversion,P77668,Op2461,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2490,hyfJ,U00096.3,,2611457,2611870,+,putative hydrogenase 4 assembly protein,Amino acid transport and metabolism,P77453,Op2462,"RpoN,Fnr,HyfR,Crp,FhlA",False,True
b2491,hyfR,U00096.3,,2611900,2613912,+,DNA-binding transcriptional activator HyfR,Transcription,P71229,Op2463,"RpoN,Fnr,HyfR,Crp,FhlA",False,False
b2492,focB,U00096.3,,2613934,2614782,+,formate channel FocB,Inorganic ion transport and metabolism,P77733,Op2464,"RpoN,HyfR,FhlA,Fnr,Crp",False,True
b2493,yfgO,U00096.3,,2614820,2615881,-,putative transporter YfgO,Function unknown,P0AFI9,Op2465,,False,True
b2494,bepA,U00096.3,,2616094,2617557,+,beta-barrel assembly-enhancing protease,Function unknown,P66948,Op2466,RpoE,False,False
b2495,yfgD,U00096.3,,2617578,2617937,+,putative oxidoreductase YfgD,Inorganic ion transport and metabolism,P76569,Op2467,RpoE,False,True
b2496,hda,U00096.3,,2618075,2618776,-,inibitor of reinitiation of DNA replication,"Translation, ribosomal structure and biogenesis",P69931,Op2468,,False,False
b2497,uraA,U00096.3,,2618871,2620160,-,uracil:H(+) symporter UraA,Nucleotide transport and metabolism,P0AGM7,Op2469,"RpoD,Fnr,ppGpp",True,False
b2498,upp,U00096.3,,2620246,2620872,-,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,P0A8F0,Op2470,"RpoD,Fnr,ppGpp,Lrp",False,False
b2499,purM,U00096.3,,2621197,2622234,+,phosphoribosylformylglycinamide cyclo-ligase,Nucleotide transport and metabolism,P08178,Op2471,"RpoD,ppGpp,PurR,Fnr,Lrp",True,False
b2500,purN,U00096.3,,2622234,2622872,+,phosphoribosylglycinamide formyltransferase 1,Nucleotide transport and metabolism,P08179,Op2472,"RpoD,PurR,Fnr",True,False
b2501,ppk,U00096.3,,2623044,2625110,+,polyphosphate kinase,Nucleotide transport and metabolism,P0A7B1,Op2473,"RpoS,Lrp",False,False
b2502,ppx,U00096.3,,2625115,2626656,+,exopolyphosphatase,Nucleotide transport and metabolism,P0AFL6,Op2474,"RpoS,Lrp,GlaR",False,False
b2503,pdeF,U00096.3,,2626695,2628938,-,cyclic di-GMP phosphodiesterase PdeF,Signal transduction mechanisms,P77172,Op2475,"YciT,Fnr,Nac",False,False
b2504,yfgG,U00096.3,,2629290,2629481,+,nickel/cobalt stress response protein YfgG,Function unknown,P64545,Op2476,"Nac,RpoD",False,True
b2505,yfgH,U00096.3,,2629792,2630310,+,lipoprotein YfgH,Cell wall/membrane/envelope biogenesis,P65290,Op2477,Nac,False,True
b2506,yfgI,U00096.3,,2630326,2630865,+,nalidixic acid resistance protein YfgI,Function unknown,P76573,Op2478,,False,True
b2507,guaA,U00096.3,,2630958,2632535,-,GMP synthetase,Nucleotide transport and metabolism,P04079,Op2479,"PurR,RpoD,Crp,DnaA,Fis",False,False
b2508,guaB,U00096.3,,2632604,2634070,-,inosine 5'-monophosphate dehydrogenase,Nucleotide transport and metabolism,P0ADG7,Op2480,"PurR,RpoD,Crp,DnaA,Fis",False,False
b2509,xseA,U00096.3,,2634232,2635602,+,exodeoxyribonuclease VII subunit XseA,"Replication, recombination and repair",P04994,Op2481,"RpoD,YqhC,YebK,MarA,Crp",False,False
b2510,yfgJ,U00096.3,,2635599,2635814,-,zinc ribbon domain-containing protein YfgJ,Function unknown,P76575,Op2482,"YeiE,ppGpp",True,True
b2511,der,U00096.3,,2635884,2637356,-,50S ribosomal subunit stability factor,"Translation, ribosomal structure and biogenesis",P0A6P5,Op2483,"YeiE,RpoE,ppGpp",False,False
b2512,bamB,U00096.3,,2637474,2638652,-,outer membrane protein assembly factor BamB,Cell wall/membrane/envelope biogenesis,P77774,Op2484,RpoE,False,False
b2513,yfgM,U00096.3,,2638663,2639283,-,ancillary SecYEG translocon subunit,Function unknown,P76576,Op2485,,False,False
b2514,hisS,U00096.3,,2639301,2640575,-,histidine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P60906,Op2486,"RpoD,YdcN",False,False
b2515,ispG,U00096.3,,2640686,2641804,-,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),Lipid transport and metabolism,P62620,Op2487,,False,False
b2516,rodZ,U00096.3,,2641831,2642844,-,cytoskeleton protein RodZ,Function unknown,P27434,Op2488,,False,False
b2517,rlmN,U00096.3,,2643129,2644283,-,23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase,"Translation, ribosomal structure and biogenesis",P36979,Op2489,ppGpp,False,False
b2518,ndk,U00096.3,,2644433,2644864,-,nucleoside diphosphate kinase,Nucleotide transport and metabolism,P0A763,Op2490,"ppGpp,ArcA",True,False
b2519,pbpC,U00096.3,,2645013,2647325,-,peptidoglycan glycosyltransferase PbpC,Cell wall/membrane/envelope biogenesis,P76577,Op2491,,False,False
b2520,yfhM,U00096.3,,2647326,2652287,-,alpha2-macroglobulin,Function unknown,P76578,Op2492,YeiE,False,False
b2521,sseA,U00096.3,,2652494,2653339,+,3-mercaptopyruvate sulfurtransferase,Inorganic ion transport and metabolism,P31142,Op2493,,False,False
b4812,timP,U00096.3,,2654001,2654126,+,putative toxic protein TimP,No COG annotation,P0DUM3,Op2494,,True,False
b2522,sseB,U00096.3,,2654157,2654933,-,protein SseB,Function unknown,P0AFZ1,Op2495,"ryfA,ryhB",False,True
b2523,pepB,U00096.3,,2655075,2656358,-,aminopeptidase B,Amino acid transport and metabolism,P37095,Op2496,ryhB,False,False
b2524,iscX,U00096.3,,2656536,2656736,-,accessory iron-sulfur cluster assembly protein IscX,Function unknown,P0C0L9,Op2497,RpoD,False,False
b2525,fdx,U00096.3,,2656748,2657083,-,reduced ferredoxin,Energy production and conversion,P0A9R4,Op2498,RpoD,True,False
b2526,hscA,U00096.3,,2657085,2658935,-,iron-sulfur cluster biosynthesis chaperone HscA,"Post-translational modification, protein turnover, and chaperones",P0A6Z1,Op2499,"RpoD,YbiH",False,False
b2527,hscB,U00096.3,,2658952,2659467,-,[Fe-S] cluster biosynthesis co-chaperone HscB,"Post-translational modification, protein turnover, and chaperones",P0A6L9,Op2500,"RpoD,ryhB",True,False
b2528,iscA,U00096.3,,2659563,2659886,-,iron-sulfur cluster insertion protein IscA,Function unknown,P0AAC8,Op2501,"RpoD,ryhB,IscR",True,False
b2529,iscU,U00096.3,,2659903,2660289,-,scaffold protein for iron-sulfur cluster assembly,Energy production and conversion,P0ACD4,Op2502,"RpoD,ryhB,IscR",True,False
b2530,iscS,U00096.3,,2660317,2661531,-,cysteine desulfurase IscS,Amino acid transport and metabolism,P0A6B7,Op2503,"RpoD,ryhB,IscR",True,False
b2531,iscR,U00096.3,,2661643,2662131,-,DNA-binding transcriptional dual regulator IscR,Transcription,P0AGK8,Op2504,"RpoD,ryhB,YidZ,IscR,fnrS",True,False
b2532,trmJ,U00096.3,,2662583,2663323,-,tRNA Cm32/Um32 methyltransferase,"Translation, ribosomal structure and biogenesis",P0AE01,Op2505,ppGpp,False,False
b2533,suhB,U00096.3,,2663442,2664245,+,Nus factor SuhB,Carbohydrate transport and metabolism,P0ADG4,Op2506,ppGpp,True,False
b2534,yfhR,U00096.3,,2664390,2665244,+,putative peptidase,Function unknown,P77538,Op2507,,False,True
b2535,csiE,U00096.3,,2665435,2666715,+,stationary phase-inducible protein CsiE,Transcription,P54901,Op2508,"RpoD,RpoS,H-NS,Crp,Lrp,Nac",False,True
b2536,hcaT,U00096.3,,2666707,2667846,-,putative 3-phenylpropionate transporter,Amino acid transport and metabolism,Q47142,Op2509,ppGpp,False,True
b2537,hcaR,U00096.3,,2668006,2668896,-,DNA-binding transcriptional dual regulator HcaR,Transcription,Q47141,Op2510,"HcaR,Nac",False,False
b4706,iroK,U00096.3,,2668006,2668071,-,protein IroK,No COG annotation,U3PVA8,Op2511,,False,False
b2538,hcaE,U00096.3,,2669032,2670393,+,putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha,Inorganic ion transport and metabolism,P0ABR5,Op2512,"YcjW,ppGpp,HcaR,Nac",False,False
b2539,hcaF,U00096.3,,2670390,2670908,+,putative 3-phenylpropionate/cinnamate dioxygenase subunit beta,"Secondary metabolites biosynthesis, transport, and catabolism",Q47140,Op2513,"YidZ,HcaR",False,False
b2540,hcaC,U00096.3,,2670908,2671228,+,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,Inorganic ion transport and metabolism,P0ABW0,Op2514,HcaR,False,False
b2541,hcaB,U00096.3,,2671225,2672037,+,2%2C3-dihydroxy-2%2C3-dihydrophenylpropionate dehydrogenase,Lipid transport and metabolism,P0CI31,Op2515,"ppGpp,HcaR",False,False
b2542,hcaD,U00096.3,,2672047,2673249,+,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,Inorganic ion transport and metabolism,P77650,Op2516,HcaR,False,False
b2543,yphA,U00096.3,,2673346,2673768,+,putative inner membrane protein,Function unknown,P0AD47,Op2517,ppGpp,True,True
b2544,yphB,U00096.3,,2673816,2674688,-,putative aldose 1-epimerase YphB,Carbohydrate transport and metabolism,P76584,Op2518,,False,True
b2545,yphC,U00096.3,,2674700,2675761,-,putative zinc-binding dehydrogenase YphC,Amino acid transport and metabolism,P77360,Op2519,,False,True
b2546,yphD,U00096.3,,2675827,2676825,-,putative ABC transporter membrane subunit YphD,Carbohydrate transport and metabolism,P77315,Op2520,,False,True
b2547,yphE,U00096.3,,2676850,2678361,-,putative ABC transporter ATP-binding protein YphE,Inorganic ion transport and metabolism,P77509,Op2521,,False,True
b2548,yphF,U00096.3,,2678384,2679367,-,putative ABC transporter periplasmic binding protein YphF,Carbohydrate transport and metabolism,P77269,Op2522,,False,True
b2549,yphG,U00096.3,,2679464,2682745,-,DUF5107 domain-containing protein YphG,Function unknown,P76585,Op2523,,False,True
b2550,yphH,U00096.3,,2682863,2684056,+,putative DNA-binding transcriptional regulator%2C NAGC-like,Transcription,P76586,Op2524,,False,True
b2551,glyA,U00096.3,,2684254,2685507,-,serine hydroxymethyltransferase,Amino acid transport and metabolism,P0A825,Op2525,"RpoD,MetR,PurR",False,False
b2552,hmp,U00096.3,,2685835,2687025,+,nitric oxide dioxygenase,Energy production and conversion,P24232,Op2526,"RpoS,Fur,NsrR,MetR,Fnr,ppGpp,DksA,SdsN",False,False
b2553,glnB,U00096.3,,2687070,2687408,-,nitrogen regulatory protein PII-1,Transcription,P0A9Z1,Op2527,"PurR,RpoD",True,False
b2554,glrR,U00096.3,,2687469,2688803,-,DNA-binding transcriptional activator GlrR,Transcription,P0AFU4,Op2528,,False,False
b2555,qseG,U00096.3,,2688793,2689506,-,outer membrane lipoprotein QseG,Cell motility,P0AD44,Op2529,,False,True
b2556,glrK,U00096.3,,2689671,2691098,-,histidine kinase GlrK,Signal transduction mechanisms,P52101,Op2530,"RpoD,YjhI,YebK",False,False
b2557,purL,U00096.3,,2691656,2695543,-,phosphoribosylformylglycinamide synthetase,Nucleotide transport and metabolism,P15254,Op2531,"RpoD,PurR,ppGpp",True,False
b2558,mltF,U00096.3,,2695801,2697357,+,membrane-bound lytic murein transglycosylase F,Cell wall/membrane/envelope biogenesis,P0AGC5,Op2532,"RpoD,Rob,YidZ,ppGpp",False,False
b2559,tadA,U00096.3,,2697354,2697857,-,tRNA adenosine(34) deaminase,Nucleotide transport and metabolism,P68398,Op2533,"RpoH,NsrR,ppGpp",False,False
b2560,pgpC,U00096.3,,2697915,2698550,-,phosphatidylglycerophosphatase C,Amino acid transport and metabolism,P0AD42,Op2534,"RpoH,NsrR",False,False
b2561,yfhH,U00096.3,,2698759,2699607,+,putative DNA-binding transcriptional regulator YfhH,Transcription,P37767,Op2535,,False,True
b2562,yfhL,U00096.3,,2699663,2699923,+,putative 4Fe-4S cluster-containing protein YfhL,Energy production and conversion,P52102,Op2536,"ppGpp,Nac",False,True
b4687,shoB,U00096.3,,2700117,2700197,-,toxic peptide ShoB,No COG annotation,C1P611,Op2537,"RpoD,ohsC,Nac",True,False
b2563,acpS,U00096.3,,2700618,2700998,-,holo-[acyl-carrier-protein] synthase,Lipid transport and metabolism,P24224,Op2538,RpoD,False,False
b2564,pdxJ,U00096.3,,2700998,2701729,-,pyridoxine 5'-phosphate synthase,Coenzyme transport and metabolism,P0A794,Op2539,RpoD,False,False
